A,AAAU,AACU,AAFU,AAGU,AAIU
B,ABBU,ABCU,ABEU,ABLU,ABMU
C,AACU,ABCU,ACAU,ACBU,ACCU
D,ACDU,ADBU,ADHU,ADLU,ADMU
E,ABEU,ACEU,AEGU,AELU,AESU
F,AAFU,AFBU,AFIU,AFLU,AFMU
G,AAGU,AEGU,AGAU,AGBU,AGCU
H,ADHU,AGHU,AHGU,AHLU,ALHU
I,AAIU,AFIU,AICU,AIDU,AIGU
J,ALJU,APJU,BJCU,BJGU,BJHU
K,AGKU,AKBU,AKKU,AKLU,AKMU
L,ABLU,ACLU,ADLU,AELU,AFLU
M,AAMU,ABMU,ADMU,AFMU,AGMU
N,ACNU,AGNU,ALNU,ANEU,ANGU
O,AGOU,AKOU,ALOU,AMOU,AOCU
P,ACPU,AGPU,AIPU,ALPU,APAU
Q,AQIU,CHQU,CLQU,COQU,CSQU
R,ACRU,ADRU,AGRU,AIRU,ALRU
S,ACSU,AESU,AFSU,AGSU,AISU
T,AATU,ADTU,AITU,ALTU,AMTU
U,AAAU,AACU,AAFU,AAGU,AAIU
V,AEVU,AGVU,AKVU,ALVU,APVU
W,ALWU,AWIU,AWOU,AWSU,AWXU
X,ACXU,ADXU,AEXU,AGXU,AMXU
Y,ABYU,ADYU,AIYU,ANYU,AYTU
Z,AMZU,APZU,AZEU,AZLU,AZNU
AB,ABBU,ABCU,ABEU,ABLU,ABMU
AC,AACU,ACAU,ACBU,ACCU,ACDU
AD,ADBU,ADHU,ADLU,ADMU,ADRU
AE,AEGU,AELU,AESU,AEVU,AEXU
AF,AAFU,AFBU,AFIU,AFLU,AFMU
AG,AAGU,AGAU,AGBU,AGCU,AGFU
AH,AHGU,AHLU,HAHU,JAHU,LAHU
AI,AAIU,AICU,AIDU,AIGU,AILU
AJ,SAJU,ALJU,APJU,AAAU,AACU
AK,AKBU,AKKU,AKLU,AKMU,AKOU
AL,ALAU,ALBU,ALCU,ALEU,ALFU
AM,AAMU,AMAU,AMBU,AMCU,AMEU
AN,ANEU,ANGU,ANHU,ANLU,ANNU
AO,AOCU,AOIU,AONU,AORU,GAOU
AP,APAU,APDU,APEU,APHU,APIU
AQ,AQIU,AAAU,AACU,AAFU,AAGU
AR,ARAU,ARCU,ARDU,ARFU,ARGU
AS,ASCU,ASDU,ASGU,ASKU,ASLU
AT,AATU,ATAU,ATBU,ATCU,ATIU
AU,AAAU,ACAU,AGAU,ALAU,AMAU
AV,AVCU,AVGU,AVHU,AVIU,AVNU
AW,AWIU,AWOU,AWSU,AWXU,CAWU
AX,AXEU,AXIU,BAXU,CAXU,DAXU
AY,AYTU,BAYU,DAYU,GAYU,JAYU
AZ,AZEU,AZLU,AZNU,AZTU,CAZU
BA,BAEU,BAFU,BAKU,BALU,BAMU
BC,ABCU,BBCU,BCCU,BCDU,BCEU
BD,BDCU,BDSU,MBDU,BCDU,BIDU
BE,ABEU,BEAU,BECU,BEGU,BELU
BF,BFCU,BFFU,BFSU,BFUU,IBFU
BG,BGBU,BGFU,BGGU,BGHU,BGKU
BH,BHCU,BHFU,BHLU,BHSU,CBHU
BI,BIBU,BIDU,BIRU,BISU,BITU
BJ,BJCU,BJGU,BJHU,TBJU,BLJU
BK,BKBU,BKDU,BKGU,BKMU,BKWU
BL,ABLU,BLEU,BLIU,BLJU,BLKU
BM,ABMU,BMLU,BMOU,BMPU,BMRU
BN,BNBU,BNDU,BNGU,BNSU,CBNU
BO,BOBU,BOCU,BODU,BOHU,BOIU
BP,BPIU,BPMU,BPTU,CBPU,SBPU
BQ,ABBU,ABCU,ABEU,ABLU,ABMU
BR,BBRU,BRBU,BRCU,BRDU,BREU
BS,BBSU,BSAU,BSBU,BSCU,BSGU
BT,BBTU,BTEU,BTGU,BTLU,BTSU
BU,ABBU,ACBU,ADBU,AFBU,AGBU
BV,BVHU,BVIU,BVNU,DBVU,SBVU
BW,BWCU,BWLU,BWPU,BWTU,HBWU
BX,BBXU,BXDU,BXLU,BXNU,BXRU
BY,ABYU,BYMU,BYRU,NBYU,BAYU
BZ,BZTU,DBZU,BEZU,BLZU,BRZU
CA,ACAU,CAAU,CABU,CADU,CAEU
CB,ACBU,CBCU,CBHU,CBKU,CBLU
CD,ACDU,BCDU,CCDU,CDAU,CDDU
CE,ACEU,BCEU,CCEU,CEAU,CECU
CF,CFBU,CFCU,CFHU,CFIU,CFLU
CG,BCGU,CCGU,CGAU,CGBU,CGCU
CH,BCHU,CCHU,CHCU,CHDU,CHEU
CI,BCIU,CIAU,CIBU,CICU,CIGU
CJ,CJKU,CJTU,CJYU,JCJU,CLJU
CK,CCKU,CKCU,CKEU,CKFU,CKHU
CL,ACLU,BCLU,CCLU,CLCU,CLDU
CM,CCMU,CMAU,CMCU,CMEU,CMGU
CN,ACNU,BCNU,CNAU,CNCU,CNEU
CO,BCOU,CCOU,COCU,CODU,COGU
CP,ACPU,CCPU,CPAU,CPBU,CPDU
CQ,SCQU,CHQU,CLQU,COQU,CSQU
CR,ACRU,CCRU,CRAU,CRBU,CRDU
CS,ACSU,CCSU,CSAU,CSCU,CSFU
CT,CCTU,CTAU,CTBU,CTCU,CTFU
CU,AACU,ABCU,ACCU,AGCU,AICU
CV,CVAU,CVVU,HCVU,OCVU,PCVU
CW,CWFU,CWLU,CWSU,CWTU,CWWU
CX,ACXU,BCXU,CCXU,CXCU,CXDU
CY,CCYU,CYAU,CYCU,CYDU,CYLU
CZ,CZLU,CZPU,CZZU,HCZU,MCZU
DA,CDAU,DAAU,DACU,DADU,DAIU
DB,ADBU,DBCU,DBOU,DBRU,DBVU
DC,BDCU,DCAU,DCHU,DCIU,DCLU
DE,DDEU,DEAU,DEBU,DECU,DEKU
DF,DFDU,DFIU,DFLU,DFOU,DFSU
DG,DGFU,DGGU,DGIU,DGRU,HDGU
DH,ADHU,DHBU,DHDU,DHGU,DHIU
DI,DIAU,DIDU,DIGU,DILU,DINU
DJ,DJCU,DJLU,ACDU,ADBU,ADHU
DK,CDKU,DKLU,DKOU,FDKU,MDKU
DL,ADLU,DLAU,DLFU,DLHU,DLKU
DM,ADMU,CDMU,DMBU,DMEU,DMIU
DN,CDNU,DNAU,DNCU,DNEU,DNRU
DO,DOCU,DODU,DOGU,DOLU,DONU
DP,DPCU,DPIU,DPKU,DPSU,EDPU
DQ,PDQU,ACDU,ADBU,ADHU,ADLU
DR,ADRU,DRAU,DRSU,DRYU,EDRU
DS,BDSU,CDSU,DSLU,DSNU,DSRU
DT,ADTU,DTCU,DTGU,DTLU,DTOU
DU,ACDU,AIDU,APDU,ARDU,ASDU
DV,DVKU,DVRU,LDVU,DBVU,DFVU
DW,DWAU,DWBU,DWFU,SDWU,DAWU
DX,ADXU,DXIU,DXTU,FDXU,HDXU
DY,ADYU,DYLU,KDYU,DAYU,DRYU
DZ,DZLU,EDZU,JDZU,LDZU,DBZU
EA,BEAU,CEAU,DEAU,EACU,EADU
EB,DEBU,EBCU,MEBU,SEBU,WEBU
EC,BECU,CECU,DECU,ECAU,ECBU
ED,EDCU,EDDU,EDPU,EDRU,EDZU
EF,CEFU,EFCU,EFGU,EFKU,HEFU
EG,AEGU,BEGU,EGAU,EGFU,EGHU
EH,EHPU,EHSU,LEHU,EGHU,EOHU
EI,CEIU,EIAU,EIMU,EIRU,EISU
EJ,EMJU,ABEU,ACEU,AEGU,AELU
EK,DEKU,EKBU,EKCU,EKLU,EKOU
EL,AELU,BELU,DELU,ELAU,ELBU
EM,BEMU,CEMU,EMAU,EMBU,EMCU
EN,CENU,DENU,ENAU,ENBU,ENDU
EO,CEOU,EOHU,EOLU,EOSU,NEOU
EP,CEPU,EPCU,EPIU,EPLU,EPPU
EQ,EQPU,EQRU,EQUU,GEQU,ABEU
ER,BERU,CERU,ERFU,ERIU,ERMU
ES,AESU,BESU,CESU,ESCU,ESDU
ET,CETU,EETU,ETBU,ETCU,ETEU
EU,ABEU,ACEU,ALEU,AMEU,ANEU
EV,AEVU,EVAU,EVKU,EVOU,EVRU
EW,EWAU,EWCU,GEWU,NEWU,REWU
EX,AEXU,BEXU,CEXU,EXFU,EXOU
EY,EYTU,HEYU,KEYU,REYU,SEYU
EZ,BEZU,EZCU,VEZU,EDZU,ABEU
FA,FAAU,FACU,FAFU,FAKU,FAMU
FB,AFBU,CFBU,FBAU,FBIU,FBLU
FC,BFCU,CFCU,EFCU,FCBU,FCCU
FD,DFDU,FDAU,FDCU,FDDU,FDKU
FE,FELU,FEMU,FERU,FESU,FETU
FG,EFGU,FGKU,FGNU,FGRU,FGTU
FH,CFHU,FHFU,TFHU,WFHU,FOHU
FI,AFIU,CFIU,DFIU,FIAU,FIBU
FJ,FJAU,FJKU,FJWU,FUJU,FZJU
FK,EFKU,FKKU,FAKU,FDKU,FGKU
FL,AFLU,CFLU,DFLU,FFLU,FLBU
FM,AFMU,CFMU,FFMU,FMBU,FMDU
FN,FANU,FCNU,FGNU,AAFU,ACNU
FO,DFOU,FODU,FOGU,FOHU,FOLU
FP,FPEU,FPMU,FPOU,FPTU,NFPU
FQ,FZQU,AAFU,AFBU,AFIU,AFLU
FR,CFRU,FRAU,FRCU,FRIU,FRLU
FS,AFSU,BFSU,DFSU,FSCU,FSRU
FT,FTAU,FTCU,FTGU,FTIU,FTKU
FU,AAFU,AGFU,ALFU,AMFU,ARFU
FV,DFVU,FVGU,FVIU,FVLU,XFVU
FW,DFWU,FWRU,FWUU,NFWU,FGWU
FX,CFXU,FXLU,GFXU,HFXU,FBXU
FY,AAFU,ABYU,ADYU,AFBU,AFIU
FZ,FZJU,FZQU,GFZU,FAZU,FSZU
GA,AGAU,CGAU,EGAU,GAAU,GACU
GB,AGBU,BGBU,CGBU,GBKU,GBMU
GC,AGCU,CGCU,GCAU,GCBU,GCCU
GD,GDNU,GDSU,HGDU,GADU,GLDU
GE,GECU,GEKU,GELU,GENU,GEQU
GF,AGFU,BGFU,DGFU,EGFU,GFCU
GH,AGHU,BGHU,CGHU,EGHU,GHBU
GI,CGIU,DGIU,GICU,GINU,GIPU
GJ,GJSU,GOJU,AAGU,AEGU,AGAU
GK,AGKU,BGKU,CGKU,FGKU,GKRU
GL,AGLU,BGLU,CGLU,GLAU,GLBU
GM,AGMU,CGMU,GGMU,GMCU,GMDU
GN,AGNU,FGNU,GNCU,GNFU,GNIU
GO,AGOU,CGOU,GGOU,GOAU,GOCU
GP,AGPU,GPFU,GPLU,GPVU,KGPU
GQ,GEQU,GLQU,AAGU,AEGU,AGAU
GR,AGRU,BGRU,CGRU,DGRU,FGRU
GS,AGSU,BGSU,CGSU,EGSU,GGSU
GT,CGTU,FGTU,GTAU,GTCU,GTIU
GU,AAGU,AEGU,AGGU,AHGU,AIGU
GV,AGVU,GVCU,GVDU,GVSU,GVTU
GW,FGWU,GWDU,GWGU,GWIU,GWLU
GX,AGXU,GXLU,LGXU,PGXU,GCXU
GY,GAYU,AAGU,ABYU,ADYU,AEGU
GZ,GZEU,GZGU,GZPU,GZTU,NGZU
HA,HAAU,HACU,HAGU,HAHU,HAKU
HB,DHBU,GHBU,HBBU,HBCU,HBGU
HC,BHCU,CHCU,GHCU,HCCU,HCDU
HD,CHDU,DHDU,HDFU,HDGU,HDMU
HE,CHEU,HEFU,HEIU,HEMU,HERU
HF,BHFU,FHFU,HFAU,HFCU,HFDU
HG,AHGU,DHGU,HGAU,HGBU,HGCU
HI,CHIU,DHIU,HIBU,HICU,HILU
HJ,HJLU,HJMU,KHJU,THJU,HPJU
HK,HKHU,HKNU,HKTU,SHKU,THKU
HL,AHLU,BHLU,CHLU,HLBU,HLCU
HM,CHMU,HHMU,HMCU,HMHU,HMKU
HN,HNKU,HNLU,HNPU,HNSU,RHNU
HO,HOBU,HOFU,HOLU,HORU,HOTU
HP,EHPU,HPAU,HPCU,HPEU,HPGU
HQ,CHQU,THQU,ADHU,AGHU,AHGU
HR,CHRU,DHRU,HHRU,HRZU,PHRU
HS,BHSU,CHSU,EHSU,HSCU,HSIU
HT,CHTU,GHTU,HTCU,HTGU,HTIU
HU,ADHU,AGHU,ALHU,ANHU,APHU
HV,CHVU,HVLU,HVRU,MHVU,SHVU
HW,HWBU,HWHU,HWIU,ZHWU,HBWU
HX,CHXU,HHXU,HDXU,HEXU,HFXU
HY,THYU,HEYU,HOYU,ABYU,ADHU
HZ,DHZU,HZFU,HZKU,LHZU,HCZU
IA,CIAU,DIAU,EIAU,FIAU,IAAU
IB,BIBU,CIBU,FIBU,HIBU,IBCU
IC,AICU,CICU,FICU,GICU,HICU
ID,AIDU,BIDU,DIDU,IDCU,IDGU
IE,IEAU,IECU,MIEU,RIEU,SIEU
IF,IFFU,IFLU,IFTU,PIFU,SIFU
IG,AIGU,CIGU,DIGU,IGEU,IGLU
IH,IHOU,IHTU,TIHU,ICHU,AAIU
IJ,IJCU,IJSU,AAIU,AFIU,AICU
IK,IKKU,IKMU,IKSU,NIKU,SIKU
IL,AILU,CILU,DILU,HILU,ILBU
IM,AIMU,EIMU,HIMU,IMEU,IMIU
IN,DINU,GINU,INBU,INCU,INDU
IO,CIOU,FIOU,IOUU,MIOU,NIOU
