bicCode,Country,City,Company
AAAU,HK,WAN CHAI,ASIA CONTAINER LEASING CO LTD
AACU,United Arab Emirates,DUBAI,ACE GLOBAL LINES DWC - LLC
AAFU,Austria,WIEN,BUNDESMINISTERIUM FUR LANDESVERTEIDIGUNG
AAGU,Germany,RUHSTORF,MTU ONSITE ENERGY SYSTEMS GMBH
AAIU,Israel,TEL AVIV,A.A SHIPPING LTD
AAMU,HK,HONG KONG,"ALBATROSS TANK-LEASING CO., LIMITED"
AATU,India,Mumbai,AMFICO AGENCIES PVT LTD
ABBU,United States,"NEW YORK, NY 10019",ATLANTIC BULK CARRIERS MANAGMENT LTD
ABCU,United States,"NORFOLK, NE-69702",ABC MOBILE STORAGE
ABEU,Netherlands,'s-Hertogenbosch,L & T B.V.
ABLU,Belgium,BRUSSELS,ETAT-MAJOR DES FORCES ARMEES BELGES
ABMU,Russian Federation,ABAKAN,RM RAIL ABAKANVAGONMASH
ABYU,United Kingdom,LIVERPOOL,ABBEY LOGISTICS GROUP
ACAU,Finland,HELSINKI,ARCTIC CONTAINER OY
ACBU,Belgium,Antwerpen,ACB CONTAINERS NV
ACCU,United States,"GREENVILLE, SC-29609",ATLANTIC COAST CONTAINER
ACDU,Belgium,ROESELARE,DESOTEC NV
ACEU,United Kingdom,"LEEDS, LS10 1RT",ACE CONTAINER SERVICES LTD
ACLU,United States,"WESTFIELD, NJ 07090",ATLANTIC CONTAINER LINE
ACNU,Netherlands,Rotterdam,NOURYON FUNCTIONAL CHEMICALS
ACPU,Belgium,HEUSDEN-ZOLDER,CARDIGAS
ACRU,China,DALIAN,ACCIPITER OILFIELD EQUIPMENT
ACSU,Canada,"MONTREAL, QC",COMMONWEALTH INDEPENDENT
ACXU,Norway,Bergen,G2 OCEAN AS
ADBU,India,Bhuj,AGROCEL INDUSTRIES PVT LTD.
ADHU,Italy,VENICE,ADHOC S.R.L
ADLU,China,Qingdao,QINGDAO IRFAN INTERNATIONAL LOGISTICS CO LTD
ADMU,Malta,VALLETTA,ADMIRAL CONTAINER LINES INC LIMITED
ADRU,Spain,CORNELLA DE LLOBREGAT,BARCELONESA DE DROGAS Y PRODUCTOS QUIMICOS SA
ADTU,"Moldova, Republic of",Chisinau,ADEN TRANSEXIM SRL
ADXU,United States,"HOUSTON, TX-77075",APPLIED CRYO TECHNOLOGIES
ADYU,Azerbaijan,Baku,ADY CONTAINER LLC
AEGU,United Kingdom,Tadcaster,AEGEUS ENERGY SOLUTIONS LTD
AELU,Japan,TOKYO,MITSUBISHI CHEMICAL CORPORATION
AESU,Dominican Republic,Santo Domingo,AES ANDRES
AEVU,Switzerland,Petit-Lancy,BLUEHORN SA
AEXU,United Kingdom,Kent  ME19 4UY,AFRICA EXPRESS LINE LTD
AFBU,Belgium,TIENEN,AFFILIPS NV
AFIU,United States,"NASHVILLE, TN 37201",AGMARK CAPITAL HOLDINGS INC.
AFLU,France,ROUSSET,AIR FLOW
AFMU,Spain,EL PRAT DE LLOBREGAT,ALFIL LOGISTICS S.A.
AFSU,Italy,MONOPOLI,L'AUTOFRIGO SUD SRL
AGAU,Netherlands,SCHIEDAM,LINDE GAS BENELUX
AGBU,India,"CHENNAI , TAMILNADU",ARCHEAN CHEMICAL INDUSTRIES PRIVATE LIMITED
AGCU,Germany,GREVEN,GREIWING LOGISTICS FOR YOU GMBH
AGFU,United Arab Emirates,DUBAI,THE ARABIAN INDUSTRIAL GASES CO LLC DUBAI BRANCH
AGGU,"Tanzania, United Republic of",Dar es Salaam,ALISTAIR JAMES COMPANY
AGHU,France,ROUBAIX,AFRICA GLOBAL LOGISTICS
AGKU,United Kingdom,DUMBARTON G82 3RG,AGGREKO MANUFACTURING
AGLU,Chile,SANTIAGO,AGUNSA-AGENCIA UNIVERSALES S.A
AGMU,United States,"NASHVILLE, TN 37201",AGMARK CAPITAL HOLDINGS INC.
AGNU,Poland,Gdansk,ANGA SP. Z.O.O.
AGOU,United States,"Tulsa, OK 74120-1633",AIRGAS USA LLC.
AGPU,United Kingdom,"BRISTOL, BS20 7XH",A-GAS (UK) LTD
AGRU,France,La Courneuve,AGRICOOL SAS
AGSU,United Kingdom,MITCHELDEAN,AGA GAS AB
AGVU,Germany,Visbek,AGROTRUST GMBH
AGXU,Turkey,Istanbul (Bahçelievler),AGT KONTEYNER LTD STI
AHGU,United Arab Emirates,Abu Dhabi,AL GHAITH INDUSTRIES L.L.C
AHLU,United Kingdom,HIXON,ABNORMAL LOAD ENGINEERING LIMITED
AICU,Singapore,SINGAPORE,ALLIED CONTAINER LINE PTE LTD
AIDU,United States,"BATON ROUGE, LA 70801",ALBEMARLE CORPORATION
AIGU,United States,"Tulsa, OK 74120-1633","AIRGGAS USA, LLC"
AILU,India,Mumbai,ARMITA INDIA SHIPPING PVT LTD
AIMU,United States,"AVENEL, NJ 0700-0188",TRS CONTAINERS & CHASSIS
AIPU,Israel,Kfar qari,A.I.P.P INDUSTRIES LTD
AIRU,United States,"ALLENTOWN, PA 18195",AIR PRODUCTS
AISU,Italy,CASALMAGGIORE,AZIENDA SERVIZI TRASPORTI LOGISTICA S.R.L.
AITU,Netherlands,Vondelingenplaat,ARKEMA B.V. – LOCATION ROTTERDAM
AIYU,United Arab Emirates,DUBAI,AIYER SHIPPING CONTAINER LINE
AKBU,Netherlands,BERGEN OP ZOOM,ALLNEX RESINS NETHERLANDS BV
AKKU,Turkey,İstanbul,AKKON DENIZCILIK NAKLIYAT VE TICARET A.S.
AKLU,Japan,TOKYO,KAWASAKI KISEN KAISHA LTD - K LINE
AKMU,Russian Federation,EKATERINBURG,ALTALOGOS LLC
AKOU,HK,"CHEUNG SHAWAN, KLN",HONG KONG SPECIALITY GASES CO.LTD
AKVU,Russian Federation,KALININGRAD,AKVAZASHITA LLC
ALAU,Russian Federation,KALININGRAD,JSC EKOPET
ALBU,Netherlands,'S GRAVENDEEL,ALBLAS INT. TRANSPORT BV
ALCU,India,MULUND WEST MUMBAI,AARTI INDUSTRIES LIMITED
ALEU,United States,"MORRISVILLE, PA 19067",AIR LIQUIDE ELECTRONICS U.S. LP
ALFU,"Taiwan, China",WUCHI /TAICHUNG,AIR LIQUIDE FAR EASTERN LTD
ALGU,United Arab Emirates,DUBAI,AIR LIQUIDE GLOBAL HELIUM FZE
ALHU,Trinidad and Tobago,POINT LISAS,AIR LIQUIDE TRINIDAD & TOBAGO LIMITED
ALIU,United States,"MEDLEY, FL 33178","UNIVERSAL FOREST PRODUCTS, INC."
ALJU,Japan,TOKYO,AIR LIQUIDE JAPAN LTD
ALKU,Turkey,MERSIN,ALTUN LOJISTIK A.S.
ALLU,Netherlands,ROTTERDAM,ALCONET BV
ALMU,South Africa,DURBAN,ALMAR CONTAINER INVESTMENTS INC.
ALNU,Netherlands,ROTTERDAM,CARU CONTAINERS BV
ALOU,United Kingdom,ABERDEEN,AIR LIQUIDE OIL AND GASES SERVICES LIMITED
ALPU,France,CHALON-SUR-SAÔNE CEDEX,AIR LIQUIDE FRANCE INDUSTRIE
ALRU,South Africa,DURBAN,ALMAR CONTAINER INVESTMENTS INC.
ALSU,Sweden,MALMO,AIR LIQUIDE GAS AB
ALTU,Germany,HAMBURG,VTG TANKTAINER ASSETS GMBH
ALUU,Sweden,GOTHENBURG,NORDIC BULKERS AB
ALVU,China,JIANG SU PROVINCE,"AIR LIQUIDE ELECTRONICS MATERIALS (ZHANGJIAGANG) CO.,LTD"
ALWU,"Korea, Republic of",Seoul,AIR LIQUIDE GLOBAL ELECTRONICS MATERIALS
AMAU,Brazil,MANAUS,ALIANÇA EQUIQ. CONTÊINERES  MANAUS LTDA
AMBU,Argentina,CABA,AMBIKA SRL
AMCU,France,MARSEILLE CEDEX 02,CMA-CGM
AMEU,United Arab Emirates,Al Hamra Al Jazirah,ACE CRANES & ENGINEERING FZ-LLC
AMFU,Bermuda,"HAMILTON, HM HX",TEXTAINER EQUIPMENT MANAGEMENT LTD
AMGU,Canada,Rocky View,AMGAS SERVICES INC
AMIU,India,NAVI MUMBAI,AMLF LOGISTICS PVT LTD
AMMU,Italy,BUSSOLENGO VERONA,AMMANN ITALY SPA
AMOU,Finland,Paimio,AMOMATIC OY
AMSU,Viet Nam,Ho Chi Minh,AMASIS SHIPPING COMPANY LIMITED
AMTU,Philippines,CEBU CITY,ASIAN MARINE TRANSPORT CORP
AMXU,Italy,TRIESTE,AUTAMAROCCHI S.P.A
AMZU,Bermuda,"HAMILTON, HM HX",TEXTAINER EQUIPMENT MANAGEMENT LTD
ANEU,Italy,GENOVA,ANSALDO ENERGIA SPA
ANGU,Angola,"Talatona, Belas",ANGOLA LNG LIMITED
ANHU,Germany,BARGEN,ANHALT LOGISTICS GMBH & CO KG
ANLU,Uruguay,MONTEVIDEO,ANALCO SA
ANNU,France,MARSEILLE CEDEX 02,CMA-CGM
ANYU,United States,"OAKLAND, CA-94607",ONE WAY LEASE INC.
AOCU,United Kingdom,"CHESHIRE, CH65 4EY",INNOSPEC LIMITED
AOIU,Indonesia,JAKARTA,PT. ALTIC ONE INDONESIA
AONU,United States,"WESTBOROUGH, MA-01582",NEC ENERGY SOLUTIONS
AORU,Singapore,Singapore,OEG ASIA PACIFIC PTE LTD
APAU,United States,"FL,32226  JACKSONVILLE",APR ENERGY LLC
APDU,France,MARSEILLE CEDEX 02,CMA-CGM
APEU,United Arab Emirates,DUBAI,ALSHIRAWI EQUIPMENT CO LLC
APHU,France,MARSEILLE CEDEX 02,CMA-CGM
APIU,France,MARSEILLE CEDEX 02,CMA-CGM
APJU,Japan,Tokyo,"AGC PLIBRICO CO., LTD."
APLU,France,MARSEILLE CEDEX 02,CMA-CGM
APMU,Denmark,Copenhagen,MAERSK A/S
APNU,Norway,LILLEHAMMER,AQUA PHARMA AS
APRU,France,MARSEILLE CEDEX 02,CMA-CGM
APSU,United States,"BARTONVILLE, IL-61607","ALTORFER POWER SYSTEMS, INC"
APVU,Japan,OSAKA,SUN FLUORO SYSTEM CO LTD
APXU,Malaysia,Petaling Jaya,APEX GLOBAL ENGINEERING SDN. BHD.
APZU,France,MARSEILLE CEDEX 02,CMA-CGM
AQIU,Fiji,Lautoka,AQUAM INSULA PTE LTD
ARAU,"Korea, Republic of",GYEONGSANG-NAMDO,ARA F&D
ARCU,United Arab Emirates,DUBAI,SUNMARINE SHIPPING SERVICES LLC
ARDU,Netherlands,ROTTERDAM,CARU CONTAINERS BV
ARFU,Spain,Madrid,SPANISH MINISTRY OF DEFENSE- SPANISH NAV
ARGU,Israel,ASHDOD,MAXIMA AIR SEPARATION CENTER LTD
ARKU,Turkey,Istanbul,ARKAS SHIPPING AND TRANSPORT SA
ARMU,United Kingdom,IPSWICH SUFFOLK IP4 1JX,ADAPTAINER LTD
ARPU,Spain,ZARAGOZA,EQUIPOS MOVILES DE CAMPANA ARPA S.A.U.
ARRU,United Kingdom,ABERDEEN AB12 3LG,NIPPON GASES OFFSHORE TANKS LIMITED
ARTU,Netherlands,ROTTERDAM,CARU CONTAINERS BV
ARVU,Russian Federation,NABEREZHNYE CHELNY,GMK-TRANZIT LIMITED COMPANY
ASCU,Netherlands,Rotterdam,ABS- CONTAINERS BV
ASDU,Russian Federation,PETROPAVLOVSK KAMCHATSKLY,PRIVATE ENTREPRENEUR VYISLANKO TATIANA PETROVNA
ASGU,Sweden,GOTHENBURG,NORDIC BULKERS AB
ASKU,United States,Laredo,AS TRUCKING GROUP LLC
ASLU,United Arab Emirates,ABU DHABI,ALLIGATOR SHIPPING COMPANY LLC
ASMU,Russian Federation,Pskov,ALPAS SERVIS LTD
ASNU,Turkey,"ATASEHIR,  ISTANBUL",ALISAN ULUSLARARASI TASIMACILIK VE TICARET AS
ASOU,British Indian Ocean Territory,BRITISH VIRGIN ISLAND,ATLANTIC SHIPPING LINE LIMITED
ASPU,Norway,OSLO,TANK MANAGEMENT A/S
ASRU,Slovakia,BRATISLAVA,ARMED FORCES OF THE SLOVAK REPUBLIC
ASSU,Italy,CASTELMASSA (RO),SOCIETA AUTOTRASPORTI SPECIALI S.P.A
ASTU,Kazakhstan,Astana,ALMALY TK
ASUU,Switzerland,BERN 9,ALCOSUISSE
ATAU,France,FOS SUR MER,AMATO TRANSPORTS AFFRETEMENT
ATBU,Germany,HAMBURG,A-TAINER & SERVICE
ATCU,Netherlands,DELFT,ALLSEAS ENGINEERING BV c/o BLUE MARINE OFFSHORE YARD SERVICE B.V.
ATIU,Netherlands,Rotterdam,EUROTAINER SA
ATKU,Malaysia,Shah Alam,ACTIVE TANK SDN. BHD.
ATLU,Netherlands,Moerdijk,ALBATROSS TANK LEASING B.V.
ATNU,Spain,Zaragoza,"ANELTIA TRADING, S.L.U."
ATOU,France,COLOMBES,ARKEMA
ATRU,Poland,Sklamierzyce,ANEL MITORAJ ANDRZEJ I MITORAJ ELZBIETA SP. J.
ATSU,Australia,Kirrawee DC,ANSTO
ATTU,United Arab Emirates,DUBAI,ATI FREIGHT LLC
ATVU,Netherlands,ROTTERDAM,PEACOCK CONTAINER BV
ATXU,United States,"St. Cloud, MN 56301",ANDERSON TRUCKING SERVICES
AUGU,Austria,STRASSWALCHEN,QUEHENBERGER LOGISTICS GMBH
AUSU,Australia,SYDNEY,SPECTAINER PTY LTD
AVCU,United States,"AXIS, AL-36505",AMVAC CHEMICAL COPORATION
AVGU,Russian Federation,St.Petersburg,AVRORA LOGISTICS
AVHU,Russian Federation,MOSCOW,JSC ATOMSPETSTRANS
AVIU,Lithuania,KAUNAS,HELISOTA
AVNU,India,Mumbai,AVANA LOGISTEK LIMITED
AVRU,Latvia,RIGA,SIA ALPA VAGONS
AVSU,United States,"SILVER BOW, MT 59750",REC ADVANCED SILICON MATERIALS LLC
AWIU,Germany,BREMERHAVEN,ALFRED-WEGENER-INSTITUT HELMHOLTZ-ZENTRUM FUR POLAR
AWOU,Finland,VOIKOSKI,OY WOIKOSKI AB
AWSU,United Kingdom,LONDON E1 8DE,A W SHIP MANAGEMENT LTD
AWXU,United States,"FAIRBANKS, AK 99701",ALASKA WEST EXPRESS INC.
AXEU,China,Shanghai,ASEAN SEAS LINE CO LIMITED
AXIU,Bermuda,"HAMILTON, HM HX",TEXTAINER EQUIPMENT MANAGEMENT LTD
AYTU,Turkey,Zeytinburnu-Istanbul,OZTIRYAKILER SAVUNMA EKIPMANLARI SAN.VE.TIC.A.S.
AZEU,Azerbaijan,Baku,EURASIA CONTAINER
AZLU,Germany,HAMBURG,HAPAG LLOYD A.G
AZNU,United States,Atlanta,"AMAZON.COM SERVICES, INC."
AZTU,Cyprus,NICOSIA,PROTAXON TRADING LIMITED
BAEU,United States,"FRIDLEY, MN-55421",BAE SYSTEMS
BAFU,United Kingdom,MIDDLESBROUGH CLEVELAND,BULKHAUL LTD
BAKU,Mongolia,Ulaanbaatar,BADRAKH ENERGY LLC
BALU,Germany,Murg,SPEDITION BAUMLE GMBH
BAMU,Germany,Murg,SPEDITION BAUMLE GMBH
BANU,"Iran, Islamic Republic of",Tehran,SAFBON PARS COMPRESSOR CO.
